,Gene stable ID,Gene name,Transcript name,RefSeq match transcript (MANE Select),Ensembl Canonical,Transcript stable ID,gene_id
0,ENSG00000276168,RN7SL1,RN7SL1-201,,True,ENST00000618786,ENSG00000276168.1
1,ENSG00000274012,RN7SL2,RN7SL2-201,,True,ENST00000490232,ENSG00000274012.1
2,ENSG00000283293,RN7SK,RN7SK-201,,True,ENST00000636484,ENSG00000283293.1
3,ENSG00000277209,RPPH1,RPPH1-201,,True,ENST00000516869,ENSG00000277209.1
4,ENSG00000277027,RMRP,RMRP-201,,True,ENST00000363046,ENSG00000277027.1
5,ENSG00000263934,SNORD3A,SNORD3A-201,,True,ENST00000584923,ENSG00000263934.4
6,ENSG00000222328,RNU2-2P,RNU2-2P-201,,True,ENST00000410396,ENSG00000222328.1
7,ENSG00000274266,SNORA73A,SNORA73A-201,,True,ENST00000364938,ENSG00000274266.1
8,ENSG00000156508,EEF1A1,EEF1A1-201,NM_001402.6,True,ENST00000309268,ENSG00000156508.17
9,ENSG00000200087,SNORA73B,SNORA73B-201,,True,ENST00000363217,ENSG00000200087.1
10,ENSG00000198804,MT-CO1,MT-CO1-201,,True,ENST00000361624,ENSG00000198804.2
11,ENSG00000274585,RNU2-1,RNU2-1-201,,True,ENST00000618664,ENSG00000274585.1
12,ENSG00000278048,U2,U2.16-201,,True,ENST00000613119,ENSG00000278048.1
13,ENSG00000278591,U2,U2.19-201,,True,ENST00000618602,ENSG00000278591.1
14,ENSG00000277903,U2,U2.15-201,,True,ENST00000611544,ENSG00000277903.1
15,ENSG00000274432,U2,U2.5-201,,True,ENST00000619465,ENSG00000274432.1
16,ENSG00000275616,U2,U2.11-201,,True,ENST00000616345,ENSG00000275616.1
17,ENSG00000276596,U2,U2.12-201,,True,ENST00000613778,ENSG00000276596.1
18,ENSG00000273709,U2,U2.2-201,,True,ENST00000616535,ENSG00000273709.1
19,ENSG00000274862,U2,U2.9-201,,True,ENST00000615427,ENSG00000274862.1
20,ENSG00000275219,U2,U2.10-201,,True,ENST00000620268,ENSG00000275219.1
21,ENSG00000274062,U2,U2.3-201,,True,ENST00000617785,ENSG00000274062.1
22,ENSG00000196565,HBG2,HBG2-201,NM_000184.3,True,ENST00000336906,ENSG00000196565.14
23,ENSG00000198938,MT-CO3,MT-CO3-201,,True,ENST00000362079,ENSG00000198938.2
24,ENSG00000197238,H4C11,H4C11-201,NM_021968.4,True,ENST00000355057,ENSG00000197238.4
25,ENSG00000251562,MALAT1,MALAT1-202,,True,ENST00000534336,ENSG00000251562.8
26,ENSG00000284931,,,,True,ENST00000642908,ENSG00000284931.1
27,ENSG00000231500,RPS18,RPS18-230,NM_022551.3,True,ENST00000439602,ENSG00000231500.6
28,ENSG00000198712,MT-CO2,MT-CO2-201,,True,ENST00000361739,ENSG00000198712.1
29,ENSG00000140988,RPS2,RPS2-201,NM_002952.4,True,ENST00000343262,ENSG00000140988.15
30,ENSG00000202538,RNU4-2,RNU4-2-201,,True,ENST00000365668,ENSG00000202538.1
31,ENSG00000188846,RPL14,RPL14-202,NM_001034996.3,True,ENST00000396203,ENSG00000188846.13
32,ENSG00000187837,H1-2,H1-2-201,NM_005319.4,True,ENST00000343677,ENSG00000187837.3
33,ENSG00000147403,RPL10,RPL10-202,NM_006013.5,True,ENST00000369817,ENSG00000147403.16
34,ENSG00000206585,RNVU1-7,RNVU1-7-201,,True,ENST00000383858,ENSG00000206585.1
